PropertyID,ParcelID,LandUse,PropertyAddress,PropertyCity,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,OwnerID
8902,018 00 0 042.00,SINGLE FAMILY,330  MONCRIEF AVE, GOODLETTSVILLE,0.66,CITY OF GOODLETTSVILLE,28100.0,107700.0,140800.0,1948,3,1,0,55
8903,018 00 0 164.00,VACANT RES LAND,332  MONCRIEF AVE, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,24000.0,175900.0,199900.0,2014,3,2,0,60
16921,018 00 0 164.00,SINGLE FAMILY,332  MONCRIEF AVE, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,24000.0,175900.0,199900.0,2014,3,2,0,60
5805,018 03 0 001.00,SINGLE FAMILY,314  ISAAC DR, GOODLETTSVILLE,0.56,CITY OF GOODLETTSVILLE,28000.0,117100.0,154400.0,1968,3,1,1,62
5806,018 03 0 002.00,SINGLE FAMILY,312  ISAAC DR, GOODLETTSVILLE,0.52,CITY OF GOODLETTSVILLE,28000.0,154600.0,182600.0,1969,3,1,1,63
48718,018 07 0 011.00,SINGLE FAMILY,207 ISAAC  DR, GOODLETTSVILLE,0.55,CITY OF GOODLETTSVILLE,28000.0,99200.0,131000.0,1960,3,1,0,66
16922,018 07 0 013.00,SINGLE FAMILY,203  ISAAC DR, GOODLETTSVILLE,0.57,CITY OF GOODLETTSVILLE,28000.0,96300.0,124300.0,1961,2,1,0,67
18368,018 07 0 014.00,SINGLE FAMILY,208  UTLEY DR, GOODLETTSVILLE,0.55,CITY OF GOODLETTSVILLE,28000.0,123900.0,151900.0,1966,3,1,0,68
40657,018 07 0 017.00,SINGLE FAMILY,202  UTLEY DR, GOODLETTSVILLE,0.54,CITY OF GOODLETTSVILLE,28000.0,117600.0,145600.0,1962,3,1,1,69
16923,018 07 0 030.00,SINGLE FAMILY,110  UTLEY DR, GOODLETTSVILLE,0.58,CITY OF GOODLETTSVILLE,28000.0,159900.0,193500.0,1969,3,1,1,71
29468,018 07 0 039.00,SINGLE FAMILY,103  UTLEY DR, GOODLETTSVILLE,0.32,CITY OF GOODLETTSVILLE,28000.0,110700.0,148800.0,1965,3,1,0,72
6994,018 07 0 044.00,SINGLE FAMILY,204  LUCIEN RD, GOODLETTSVILLE,0.5,CITY OF GOODLETTSVILLE,28000.0,95100.0,138200.0,1957,3,2,0,73
5807,018 07 0 045.00,SINGLE FAMILY,202  LUCIEN RD, GOODLETTSVILLE,0.45,CITY OF GOODLETTSVILLE,28000.0,101900.0,132600.0,1957,3,1,0,74
