SaleID,PropertyID,SaleDate,SalePrice,LegalReference,SoldAsVacant
0,2045,2013-04-09,240000.0,20130412-0036474,0.0
1,16918,2014-06-10,366000.0,20140619-0053768,0.0
2,54582,2016-09-26,435000.0,20160927-0101718,0.0
3,43070,2016-01-29,255000.0,20160129-0008913,0.0
4,22714,2014-10-10,278000.0,20141015-0095255,0.0
5,18367,2014-07-16,267000.0,20140718-0063802,0.0
6,19804,2014-08-28,171000.0,20140903-0080214,0.0
7,54583,2016-09-27,262000.0,20161005-0105441,0.0
8,36500,2015-08-14,285000.0,20150819-0083440,0.0
9,19805,2014-08-29,340000.0,20140909-0082348,0.0
13,4512,2013-06-07,189900.0,20130612-0059715,0.0
14,16919,2014-06-30,157500.0,20140702-0058050,0.0
15,16920,2014-06-30,247400.0,20140630-0057267,0.0
16,51967,2016-07-15,211500.0,20160720-0074793,0.0
17,28155,2015-03-31,185900.0,20150402-0029022,0.0
18,8899,2013-10-11,349900.0,20131018-0109102,0.0
19,4513,2013-06-28,192500.0,20130711-0071698,0.0
20,27161,2015-02-10,279900.0,20150212-0012993,0.0
21,46859,2016-04-14,379900.0,20160418-0036715,0.0
22,5802,2013-07-08,192500.0,20130712-0072376,0.0
23,36501,2015-08-31,193500.0,20150903-0090036,0.0
24,8900,2013-10-21,172400.0,20131030-0112723,0.0
26,26215,2015-01-26,162500.0,20150127-0007529,0.0
27,19806,2014-08-01,235000.0,20140808-0071505,0.0
28,8901,2013-10-11,225000.0,20131022-0110073,0.0
29,36502,2015-08-27,271000.0,20150901-0088477,0.0
30,13354,2014-03-18,359900.0,20140321-0023358,0.0
31,45285,2016-03-11,276500.0,20160317-0025384,0.0
32,53116,2016-08-29,271500.0,20160831-0091434,0.0
33,15542,2014-05-14,205900.0,20140529-0045974,0.0
34,54584,2016-09-23,228000.0,20160927-0101636,0.0
35,1207,2013-03-15,160000.0,20130319-0026986,0.0
36,667,2013-02-08,129900.0,20130215-0015687,0.0
37,34752,2015-07-17,230000.0,20150721-0071254,0.0
38,39426,2015-10-01,90000.0,20151006-0101964,0.0
39,48717,2016-05-27,160000.0,20160606-0056507,0.0
40,53117,2016-08-08,195900.0,20160810-0083381,0.0
41,39427,2015-10-09,122431.0,20151013-0103951,0.0
42,5803,2013-07-12,119900.0,20130718-0074201,0.0
43,6993,2013-08-20,145000.0,20130821-0088382,0.0
44,43071,2016-01-15,160000.0,20160119-0004923,0.0
45,45286,2016-03-18,169900.0,20160413-0035454,0.0
46,3267,2013-05-10,103500.0,20130513-0047997,0.0
47,34753,2015-07-31,184000.0,20150803-0076727,0.0
48,39428,2015-10-13,165000.0,20151014-0104536,0.0
49,21298,2014-09-24,290000.0,20141009-0093665,0.0
50,34754,2015-07-06,260000.0,20150708-0066261,0.0
51,39429,2015-10-09,200000.0,20151013-0103879,0.0
52,5804,2013-07-29,165000.0,20130729-0078604,0.0
53,34755,2015-07-10,230000.0,20150713-0067794,0.0
54,21299,2014-09-02,147000.0,20140908-0081941,0.0
55,8902,2013-10-25,154900.0,20131028-0111690,0.0
58,4516,2013-06-28,250000.0,20130709-0070947,0.0
59,50583,2016-06-10,305000.0,20160614-0060196,0.0
60,8903,2013-10-25,25000.0,20131028-0111686,
61,16921,2014-06-24,219900.0,20140625-0055427,0.0
62,5805,2013-07-03,150000.0,20130715-0072680,0.0
63,5806,2013-07-18,156000.0,20130719-0074748,0.0
